Order ID,Ship Date,Units Sold,Unit Price,Total Cost
474603641,5/30/2014,4619,651.21,2424790.24
869198644,1/5/2013,4049,205.7,474178.39
918342292,12/21/2015,6747,668.27,3390637.38
773645913,1/28/2011,7873,437.2,2073197.09
657033336,7/2/2014,9620,437.2,2533234.6
410740888,9/1/2012,6211,421.89,2265089.59
847317397,12/18/2011,8902,421.89,3246470.38
599624192,9/21/2012,978,47.45,31090.62
170835101,2/12/2012,2758,47.45,87676.82
584436452,2/9/2016,6588,205.7,771520.68
234227073,10/12/2012,1851,651.21,971700.96
734318292,3/4/2014,9956,651.21,5226501.76
169133937,12/31/2013,9345,152.58,910576.8
743410336,3/20/2015,494,205.7,57852.34
232196319,8/4/2017,905,668.27,454798.7
530853211,8/2/2014,117,47.45,3719.43
905054843,1/12/2012,4695,9.33,32489.4
240787541,11/13/2016,3239,668.27,1627727.06
194350135,6/5/2010,1379,421.89,502907.51
242353951,4/13/2013,6775,668.27,3404708.5
831722819,10/26/2012,4120,154.06,374631.6
229693067,7/15/2012,138,437.2,36339.54
373813521,6/15/2013,8583,205.7,1005155.13
121945512,4/12/2017,5242,47.45,166643.18
202262866,12/14/2015,2932,9.33,20289.44
963251912,2/1/2017,6501,81.73,368411.67
123711478,9/13/2010,7830,668.27,3934888.2
422752892,8/12/2010,830,109.28,29747.2
169799983,11/20/2012,6443,9.33,44585.56
894589078,4/10/2014,7643,154.06,694977.99
597169005,8/14/2016,4434,651.21,2327672.64
497901093,6/11/2015,8853,651.21,4647470.88
987459170,8/27/2010,9967,81.73,564829.89
276829564,2/13/2011,8875,81.73,502946.25
247311103,7/11/2015,3706,668.27,1862413.24
600515115,8/30/2015,4622,9.33,31984.24
208365428,12/29/2015,8815,651.21,4627522.4
263098371,7/4/2014,5509,81.73,312195.03
227262771,1/6/2014,959,651.21,503436.64
983719956,8/1/2010,3450,651.21,1811112.0
785643756,1/26/2013,8301,255.28,1323345.42
206520497,3/5/2016,2859,651.21,1500860.64
790149009,5/29/2011,1505,437.2,396311.65
100640618,10/18/2014,650,205.7,76121.5
272419154,6/27/2016,3736,81.73,211719.12
360220944,2/27/2015,6237,421.89,2274571.53
389094817,11/11/2014,658,47.45,20917.82
904402101,6/23/2012,1534,421.89,559434.46
721816623,2/17/2010,434,154.06,39463.62
977324712,3/10/2011,955,152.58,93055.2
177225196,9/12/2015,3729,47.45,118544.91
948129403,5/14/2010,1415,47.45,44982.85
586961162,4/22/2016,3706,421.89,1351541.14
510956799,9/23/2010,2326,152.58,226645.44
407665145,7/5/2013,6030,421.89,2199080.7
484947526,3/16/2015,5604,421.89,2043722.76
120977771,5/2/2011,8866,9.33,61352.72
114242208,5/15/2013,5663,81.73,320922.21
433539664,1/15/2015,2876,109.28,103075.84
667981469,6/12/2011,9416,421.89,3433921.04
476991450,3/27/2017,1225,152.58,119364.0
940305936,7/29/2010,6277,651.21,3295173.92
507973754,1/12/2012,9577,255.28,1526765.34
850356233,5/26/2013,8161,437.2,2149036.13
108127200,10/1/2010,6096,421.89,2223150.24
542272984,12/8/2016,9481,651.21,4977145.76
884092414,5/13/2011,1447,651.21,759617.12
385196816,9/3/2012,7153,668.27,3594668.62
167510020,10/6/2013,8792,421.89,3206354.48
973268353,6/26/2016,589,47.45,18724.31
915020644,3/18/2012,3797,9.33,26275.24
425628221,2/24/2016,1704,437.2,448714.32
908264911,6/14/2010,4626,47.45,147060.54
686417043,3/29/2016,4912,205.7,575244.32
853883445,1/10/2014,1941,668.27,975430.14
324775445,9/14/2015,7126,205.7,834525.86
783516871,4/6/2015,8909,205.7,1043332.99
834844052,5/20/2015,7762,437.2,2043967.46
953805816,12/25/2015,1191,152.58,116051.04
335763490,7/4/2010,8733,651.21,4584475.68
946390902,3/23/2012,6954,437.2,1831196.82
771674382,3/21/2013,4453,154.06,404911.29
567912757,5/22/2017,6860,205.7,803374.6
711717355,11/18/2014,1836,651.21,963826.56
750012004,1/30/2016,4074,651.21,2138687.04
750033032,8/18/2016,297,152.58,28939.68
849329268,7/22/2017,4259,668.27,2140317.86
805762040,4/8/2013,1748,421.89,637478.12
447505176,7/27/2010,5581,205.7,653590.91
123045003,3/22/2017,606,47.45,19264.74
251180350,10/20/2015,8702,668.27,4373103.08
871022546,4/11/2012,3782,668.27,1900606.28
291995418,6/6/2010,6788,9.33,46972.96
943835294,8/1/2014,692,109.28,24801.28
826591002,4/18/2011,5501,651.21,2887804.96
260623872,5/12/2011,3250,437.2,855822.5
536607730,11/3/2014,3007,154.06,273426.51
765528905,3/6/2015,5870,81.73,332652.9
128686225,3/13/2011,9968,255.28,1589098.56
127691018,4/5/2017,5465,154.06,496932.45
534467113,5/25/2015,9550,154.06,868381.5
741250836,1/10/2011,1450,81.73,82171.5
210591018,5/27/2014,7417,152.58,722712.48
725348985,4/13/2014,5738,154.06,521756.34
538698565,9/7/2011,1731,668.27,869896.74
224126088,6/12/2016,2745,205.7,321466.95
425430381,12/5/2012,3159,47.45,100424.61
506722772,8/8/2016,9383,154.06,853196.19
802427089,4/26/2010,4862,651.21,2552355.52
367279660,8/9/2015,5068,437.2,1334556.44
126329314,5/21/2013,2506,81.73,142015.02
624937379,2/8/2016,1713,81.73,97075.71
678777682,9/28/2010,4255,152.58,414607.2
523836553,5/22/2015,3732,205.7,437054.52
466412818,5/12/2015,772,205.7,90408.92
433117806,2/6/2012,8039,9.33,55629.88
420875346,2/18/2012,5223,437.2,1375372.59
946921765,12/16/2014,4048,437.2,1065959.84
798805892,4/25/2010,3270,668.27,1643305.8
184389054,6/20/2011,3674,668.27,1846331.96
281845080,10/18/2013,3077,668.27,1546315.58
989660298,10/11/2013,1330,421.89,485037.7
476633536,11/3/2012,5310,154.06,482838.3
131876122,5/22/2013,3930,255.28,626520.6
514811885,1/21/2015,3132,421.89,1142209.08
905177152,1/7/2011,889,651.21,466689.44
653020751,7/19/2014,2207,81.73,125070.69
528704011,3/2/2017,4121,421.89,1502887.49
472900760,3/19/2015,699,152.58,68110.56
946597325,7/23/2013,8039,255.28,1281577.38
681092536,11/18/2014,9272,651.21,4867429.12
727997720,7/19/2014,9558,154.06,869108.94
409236705,6/11/2013,1090,255.28,173767.8
467045819,4/12/2013,8092,81.73,458573.64
813973891,11/13/2012,1818,437.2,478733.94
982882249,5/29/2012,5554,668.27,2791107.16
576944720,10/9/2016,9619,437.2,2532971.27
619647634,10/16/2016,6360,154.06,578314.8
404789817,9/8/2015,5157,255.28,822128.94
646482598,1/25/2010,7422,152.58,723199.68
329149806,12/8/2016,1597,421.89,582409.93
757527768,12/19/2015,8155,651.21,4281048.8
606665313,10/13/2014,4602,437.2,1211844.66
871923768,5/30/2014,474,255.28,75565.08
818976962,12/21/2012,2337,154.06,212503.41
233811223,7/20/2017,8792,437.2,2315197.36
772725379,3/9/2017,5466,47.45,173764.14
112330758,1/11/2017,22,651.21,11549.12
499551188,1/14/2012,7153,109.28,256363.52
201622998,6/5/2013,3581,109.28,128343.04
256095016,8/21/2014,3061,651.21,1606902.56
420828568,3/29/2017,1380,9.33,9549.6
523997485,4/23/2013,1355,205.7,158684.05
914088094,5/3/2010,7835,651.21,4113061.6
209899222,9/28/2013,2699,152.58,262990.56
250542199,7/1/2014,9859,109.28,353346.56
245440852,12/17/2015,257,421.89,93725.33
824331510,4/21/2015,6867,154.06,624416.31
887263000,1/31/2014,9693,421.89,3534940.17
754596650,5/27/2015,772,205.7,90408.92
817006289,11/14/2011,9172,9.33,63470.24
185478246,3/20/2012,5989,109.28,214645.76
741311347,11/5/2014,9356,81.73,530204.52
386116921,12/22/2011,9432,81.73,534511.44
691818797,5/7/2015,3411,421.89,1243957.59
150653302,9/2/2015,515,152.58,50181.6
925169265,5/3/2015,7000,154.06,636510.0
298228013,10/25/2010,1151,154.06,104660.43
123003375,9/16/2010,8287,651.21,4350343.52
972981679,4/9/2017,5755,152.58,560767.2
791961753,9/21/2014,7937,47.45,252317.23
744054925,3/31/2011,1242,668.27,624154.68
263685023,4/8/2012,9113,651.21,4783960.48
205588376,6/18/2016,7024,255.28,1119766.08
594813811,6/17/2012,7480,81.73,423891.6
176722657,9/16/2012,5016,109.28,179773.44
466988742,8/16/2011,1201,81.73,68060.67
801598393,6/2/2012,9633,81.73,545902.11
586850440,6/8/2015,941,421.89,343173.29
649356210,5/21/2014,7787,152.58,758765.28
986039531,12/10/2015,9864,205.7,1155173.04
314136731,1/12/2012,8894,668.27,4469590.76
121196639,2/7/2015,3634,47.45,115524.86
615080583,9/19/2015,4868,205.7,570091.48
273962390,9/5/2016,414,9.33,2864.88
796328389,9/27/2014,121,81.73,6857.07
350977408,1/22/2011,869,437.2,228833.77
327020776,9/29/2015,1570,109.28,56268.8
383882319,4/15/2013,8164,154.06,742352.52
701298367,1/6/2012,8626,81.73,488835.42
629317748,8/14/2017,7961,9.33,55090.12
938301789,11/29/2013,3205,255.28,510941.1
668924319,7/7/2012,8426,154.06,766176.18
282171666,11/15/2010,9721,109.28,348400.64
309342658,3/28/2011,222,81.73,12580.74
902048623,12/20/2016,5088,437.2,1339823.04
482213389,9/3/2013,6513,109.28,233425.92
692073285,6/28/2010,8719,154.06,792818.67
544177138,1/30/2014,2963,9.33,20503.96
471386277,10/17/2016,2530,154.06,230052.9
976874530,1/27/2016,7737,81.73,438455.79
384128224,4/26/2010,933,668.27,468869.82
686946189,3/8/2010,1498,81.73,84891.66
799439752,7/24/2012,843,152.58,82141.92
606032741,6/15/2011,7410,205.7,867785.1
511461484,2/5/2017,1674,47.45,53216.46
990774810,2/18/2014,1138,668.27,571890.52
339334046,4/16/2011,5340,152.58,520329.6
522813022,4/8/2014,846,81.73,47942.82
427198064,1/2/2015,6255,9.33,43284.6
808788001,7/15/2017,7197,47.45,228792.63
244194161,1/7/2012,1334,421.89,486496.46
980340373,2/15/2016,3357,9.33,23230.44
384462964,10/10/2010,9990,47.45,317582.1
394110763,12/29/2011,4988,154.06,453558.84
767145097,3/11/2014,4137,437.2,1089396.21
431739795,6/19/2016,254,9.33,1757.68
636381185,7/28/2011,8189,205.7,959013.79
899868094,3/26/2012,9821,9.33,67961.32
361311852,2/15/2017,9061,255.28,1444504.62
930136287,6/21/2014,6852,47.45,217825.08
536077725,6/7/2016,6167,205.7,722217.37
779184997,4/17/2017,7011,152.58,683151.84
179819428,6/2/2012,1420,437.2,373928.6
928654849,1/7/2017,8461,154.06,769358.73
336677587,3/28/2017,9234,255.28,1472084.28
285186469,6/25/2011,1869,154.06,169948.17
475792825,9/3/2014,6525,255.28,1040215.5
680420482,11/8/2015,396,109.28,14192.64
291305768,1/6/2013,2705,9.33,18718.6
570997512,9/6/2016,9707,255.28,1547489.94
602357041,5/5/2015,9689,81.73,549075.63
438558185,4/14/2010,7967,421.89,2905485.23
653087270,12/7/2010,1891,152.58,184259.04
989743125,1/25/2017,5840,205.7,683922.4
812637078,1/5/2014,6225,9.33,43077.0
456192958,8/18/2014,6489,81.73,367731.63
775147092,2/28/2010,2105,205.7,246516.55
894548308,2/2/2012,5578,668.27,2803168.12
459757936,6/10/2017,1445,437.2,380511.85
986449801,3/13/2013,1272,421.89,463885.68
910610234,7/31/2017,8659,437.2,2280174.47
538538062,12/3/2015,4235,205.7,495960.85
696844613,3/22/2017,661,421.89,241060.09
482453715,9/22/2012,7630,9.33,52799.6
412601697,3/23/2017,6866,651.21,3604375.36
174837386,11/14/2012,7123,421.89,2597686.87
877022111,10/21/2012,9187,81.73,520627.29
997329699,7/15/2012,876,205.7,102588.36
434246480,2/11/2016,2038,152.58,198582.72
956571280,4/5/2017,9554,205.7,1118868.94
353415429,12/8/2010,2334,81.73,132267.78
984202754,12/8/2011,6321,154.06,574768.53
328669583,6/2/2013,9488,47.45,301623.52
436864745,5/22/2013,6841,437.2,1801440.53
279149568,1/26/2011,5415,668.27,2721254.1
696197879,3/26/2010,9278,205.7,1086546.58
348996007,1/12/2016,4529,668.27,2276003.66
668842780,9/20/2015,4297,47.45,136601.63
907349526,5/16/2012,3743,437.2,985644.19
386440074,4/25/2014,5060,81.73,286750.2
748350751,10/27/2015,2472,154.06,224778.96
105630385,9/15/2015,7233,81.73,409894.11
691140305,1/8/2014,2630,437.2,692557.9
308054339,10/15/2015,8980,437.2,2364703.4
879858815,10/30/2011,8631,9.33,59726.52
800352561,10/21/2012,963,154.06,87565.59
783646905,8/10/2015,7388,255.28,1177794.96
714165675,2/2/2014,6348,47.45,201802.92
996645200,1/27/2011,8317,421.89,3033126.73
306134307,11/24/2013,799,651.21,419443.04
537994325,2/28/2016,3331,152.58,324572.64
957899081,12/23/2015,2480,205.7,290432.8
451834905,9/21/2012,6844,651.21,3592826.24
676100623,9/23/2010,2054,255.28,327448.68
207307565,12/29/2014,5770,152.58,562228.8
392379558,3/9/2013,2685,255.28,428042.7
398552930,3/29/2016,9524,437.2,2507954.92
363376510,8/10/2017,39,651.21,20473.44
944711625,7/23/2011,18,154.06,1636.74
170732104,8/7/2012,2279,668.27,1145288.66
189924275,3/21/2013,1668,47.45,53025.72
521086966,2/19/2011,68,109.28,2437.12
303331506,8/6/2012,1388,421.89,506189.72
546081721,5/22/2013,6571,421.89,2396377.99
979073941,7/18/2010,8591,255.28,1369577.22
502356994,6/24/2013,7453,154.06,677701.29
336292207,6/5/2017,5192,421.89,1893470.48
871553409,1/5/2015,876,81.73,49642.92
319126927,2/6/2015,5604,81.73,317578.68
560311591,2/5/2016,7506,154.06,682520.58
396718728,3/18/2010,6742,81.73,382069.14
500272166,10/9/2016,506,9.33,3501.52
263208234,1/20/2011,8020,152.58,781468.8
948075759,1/4/2011,5540,47.45,176116.6
737736070,11/3/2012,1352,205.7,158332.72
585362994,4/11/2010,773,668.27,388463.42
164442861,9/20/2012,1152,255.28,183651.84
118774497,5/24/2012,6868,651.21,3605425.28
712469232,3/12/2017,4333,255.28,690766.86
479950892,5/28/2017,6989,255.28,1114186.38
275955808,12/25/2011,311,154.06,28279.23
125532805,2/17/2012,6802,255.28,1084374.84
574043214,1/5/2015,998,109.28,35768.32
437160861,1/16/2015,4468,81.73,253201.56
850872075,8/1/2015,810,255.28,129130.2
321475684,12/16/2016,654,152.58,63725.76
575583016,11/24/2012,6660,651.21,3496233.6
710117900,7/2/2017,8522,421.89,3107888.18
342316663,4/5/2015,7962,9.33,55097.04
959728133,1/20/2011,3737,437.2,984064.21
970213639,6/12/2010,6631,154.06,602956.83
651947009,5/18/2016,4463,205.7,522661.93
803414571,6/19/2010,7080,154.06,643784.4
493415153,6/9/2016,1363,9.33,9431.96
211060082,4/3/2014,6223,668.27,3127306.42
515773189,2/17/2011,7603,421.89,2772738.07
687290799,5/19/2015,3475,651.21,1824236.0
975661742,6/3/2017,8846,9.33,61214.32
351247346,5/8/2016,750,81.73,42502.5
554721438,1/28/2016,3256,47.45,103508.24
247070348,4/23/2014,2461,109.28,88202.24
859592902,1/14/2013,1497,421.89,545940.93
743900430,10/6/2015,5523,154.06,502206.39
121916759,7/5/2015,6733,668.27,3383601.82
635878217,12/30/2013,9350,81.73,529864.5
398333632,3/2/2010,4629,205.7,542102.19
742144334,10/20/2011,5855,437.2,1541797.15
370484149,1/19/2016,3348,47.45,106432.92
306839406,10/1/2013,9454,255.28,1507156.68
745008933,11/3/2015,3554,9.33,24593.68
599104058,6/28/2011,7059,154.06,641874.87
653548610,2/21/2017,8412,47.45,267417.48
413078916,1/11/2013,8086,154.06,735259.98
352743804,3/19/2014,3585,154.06,325984.05
567904603,11/12/2013,4447,255.28,708940.74
324235141,7/12/2010,7238,152.58,705270.72
307721745,1/1/2011,558,152.58,54371.52
374663245,11/26/2011,35,651.21,18373.6
901670968,12/11/2010,3331,154.06,302887.83
535668742,8/31/2010,5139,152.58,500744.16
243892896,7/22/2014,2183,668.27,1097044.82
163892257,1/25/2016,8216,109.28,294461.44
953528153,1/16/2017,9025,668.27,4535423.5
640974414,9/20/2016,7428,9.33,51401.76
474717366,4/14/2015,8273,255.28,1318881.66
873555839,8/4/2010,3440,421.89,1254533.6
976601159,3/11/2016,6840,205.7,801032.4
893277156,11/12/2012,9416,9.33,65158.72
353320157,8/22/2012,4141,437.2,1090449.53
956778991,8/25/2017,1020,255.28,162608.4
324014985,4/10/2015,2089,255.28,333028.38
645701968,7/21/2013,6416,205.7,751377.76
132826268,7/7/2013,5099,9.33,35285.08
666686713,9/10/2013,6269,421.89,2286241.61
148894631,9/25/2013,85,651.21,44621.6
151373851,7/12/2010,3741,47.45,118926.39
966360700,1/27/2017,6461,81.73,366144.87
256404006,4/27/2013,4498,255.28,717071.16
704365098,11/23/2010,6140,668.27,3085595.6
563417804,9/3/2010,6703,255.28,1068592.26
407048451,1/23/2015,3537,154.06,321619.41
879055869,9/14/2015,1021,47.45,32457.59
443551385,5/9/2013,5566,255.28,887331.72
334958827,2/28/2013,615,81.73,34852.05
508014523,3/20/2014,1642,109.28,58849.28
987767302,8/1/2012,1150,651.21,603704.0
519578492,12/29/2012,3677,421.89,1340965.13
619121921,6/10/2017,789,152.58,76880.16
622383916,2/18/2014,6086,255.28,970230.12
835663306,11/3/2010,197,109.28,7060.48
285571420,9/13/2016,5784,81.73,327779.28
769032084,4/3/2015,2538,255.28,404607.96
103281629,11/5/2013,2184,154.06,198591.12
675868880,5/11/2017,3476,205.7,407074.36
894655168,1/26/2016,7200,9.33,49824.0
137814319,3/14/2013,1174,9.33,8124.08
103832662,10/20/2012,5247,255.28,836476.74
761509025,3/3/2016,6298,81.73,356907.66
799954736,7/21/2010,3238,47.45,102936.02
778593623,11/17/2010,2010,152.58,195854.4
877162015,3/7/2010,588,437.2,154838.04
445708739,2/27/2014,3975,81.73,225263.25
254595124,6/21/2014,9210,668.27,4628393.4
244494998,11/21/2014,358,255.28,57072.36
876394689,11/9/2012,3519,205.7,412110.09
881593024,10/9/2010,1822,9.33,12608.24
411701333,12/27/2011,428,109.28,15339.52
588643443,2/11/2017,1531,255.28,244072.02
354655683,7/31/2012,9353,47.45,297331.87
522286880,10/3/2012,5149,109.28,184540.16
624398362,7/24/2017,2206,651.21,1158061.76
264163959,9/22/2016,840,47.45,26703.6
465069997,3/23/2016,3402,47.45,108149.58
520915305,11/7/2011,9270,651.21,4866379.2
245811212,5/11/2015,9855,47.45,313290.45
424181544,3/4/2013,3600,205.7,421596.0
560762631,7/16/2015,979,651.21,513935.84
230603301,12/10/2014,9496,651.21,4985020.16
429064881,2/15/2012,8688,154.06,789999.84
421821200,3/15/2013,5122,668.27,2574009.88
894858586,5/27/2017,7396,651.21,3882604.16
804475867,8/18/2013,1141,47.45,36272.39
527284371,11/18/2014,4018,255.28,640549.56
510207927,2/15/2016,718,47.45,22825.22
820482861,4/11/2013,7967,154.06,724439.31
695658004,12/8/2014,9517,437.2,2506111.61
793594682,3/27/2015,1157,437.2,304672.81
942466723,9/4/2013,5702,255.28,909012.84
590760457,4/28/2010,8002,9.33,55373.84
157274711,6/17/2010,9937,651.21,5216527.52
581120812,8/16/2012,5417,47.45,172206.43
171722590,9/30/2012,5385,9.33,37264.2
458816373,4/16/2015,2815,651.21,1477762.4
342450988,8/29/2014,7712,47.45,245164.48
142987763,9/1/2013,2112,668.27,1061364.48
251100528,7/5/2012,5081,109.28,182103.04
677775609,5/5/2012,7719,437.2,2032644.27
604311835,11/4/2011,8156,152.58,794720.64
632320535,3/28/2010,6553,651.21,3440062.88
533725535,5/30/2012,101,152.58,9841.44
600763165,12/8/2015,8026,81.73,454833.42
295982253,3/8/2016,6581,154.06,598410.33
502244126,10/17/2016,4053,421.89,1478088.57
372722613,8/18/2011,5759,81.73,326362.53
480904042,2/5/2010,9048,152.58,881637.12
570587241,11/8/2011,8299,668.27,4170579.46
905883538,7/2/2017,9925,205.7,1162316.75
921216762,1/14/2017,7366,154.06,669790.38
571323239,1/1/2017,6097,154.06,554400.21
781251800,8/2/2013,8623,437.2,2270694.59
296363770,7/13/2011,9480,421.89,3457261.2
632332980,10/25/2012,236,154.06,21459.48
225145757,2/5/2013,4487,437.2,1181561.71
281100928,11/3/2012,2866,152.58,279263.04
726809823,5/5/2013,8033,152.58,782735.52
659196269,6/1/2013,9680,668.27,4864587.2
595496594,11/4/2012,9530,81.73,540065.1
223259627,7/3/2016,6340,437.2,1669512.2
650346696,9/3/2014,894,154.06,81291.42
354931628,6/8/2010,1011,81.73,57293.37
135500752,7/21/2015,6539,152.58,637160.16
860852897,4/25/2016,4357,205.7,510248.27
320099389,11/2/2014,3377,154.06,307070.61
872664058,11/25/2010,9542,651.21,5009168.32
898283231,12/18/2012,825,205.7,96615.75
647005736,6/12/2011,2230,205.7,261155.3
889192903,1/1/2013,795,47.45,25273.05
665518558,2/14/2014,585,9.33,4048.2
436969029,12/17/2011,7701,421.89,2808477.69
734843146,8/17/2016,5272,437.2,1388275.76
810752236,5/4/2016,8458,154.06,769085.94
886620128,7/25/2011,9453,651.21,4962446.88
804683148,9/19/2011,2480,421.89,904431.2
477490127,10/3/2015,8794,668.27,4419336.76
337902390,4/21/2016,1681,152.58,163796.64
889093768,5/20/2010,1458,205.7,170746.38
454550588,9/6/2011,475,205.7,55627.25
128071677,11/7/2015,8110,109.28,290662.4
623768365,3/16/2012,5776,81.73,327325.92
926064479,3/10/2017,1913,651.21,1004248.48
539696347,1/11/2011,6997,81.73,396519.99
839712798,1/31/2016,8532,668.27,4287671.28
121475160,12/8/2010,6054,47.45,192456.66
350657260,4/15/2016,6130,109.28,219699.2
413245427,7/2/2016,7360,9.33,50931.2
165538489,10/8/2015,5372,668.27,2699644.88
884147775,10/19/2011,7829,47.45,248883.91
315997111,7/25/2014,9422,437.2,2481095.26
328322827,7/19/2012,6876,437.2,1810657.08
158673751,5/10/2014,3944,152.58,384303.36
464911210,2/10/2014,6413,152.58,624882.72
175209033,3/10/2011,7101,255.28,1132041.42
538053548,6/27/2013,856,668.27,430174.24
172243583,9/27/2010,9559,81.73,541708.53
916890466,1/16/2017,7119,255.28,1134910.98
181418025,1/17/2013,4480,651.21,2351820.8
395562589,12/1/2010,4615,47.45,146710.85
459372985,3/22/2012,7529,255.28,1200273.18
693210542,8/13/2012,5259,421.89,1917904.71
587749087,1/7/2012,6871,81.73,389379.57
153974950,9/20/2011,3464,9.33,23970.88
373186957,4/7/2010,3169,154.06,288157.17
946996438,11/13/2014,6145,81.73,348237.15
747327220,9/15/2014,9587,152.58,934157.28
966415631,5/7/2015,2716,668.27,1364898.64
166810500,11/21/2011,1789,109.28,64117.76
131373155,10/24/2015,5091,421.89,1856636.79
913277423,12/28/2012,7939,154.06,721893.27
386009633,4/5/2013,7683,81.73,435395.61
993368613,2/16/2016,8702,81.73,493142.34
299465692,6/26/2014,7408,651.21,3888903.68
438724696,10/5/2013,7242,154.06,658515.06
465881955,8/17/2012,3678,437.2,968527.74
405986297,1/2/2015,9222,255.28,1470171.24
804399049,6/23/2010,8409,668.27,4225858.86
476794040,3/7/2016,2807,47.45,89234.53
559157598,8/12/2012,6014,81.73,340813.38
457788550,4/4/2015,8660,437.2,2280437.8
999298226,5/25/2010,3407,154.06,309798.51
380610454,12/29/2011,9946,421.89,3627206.74
918961560,5/24/2012,2,255.28,318.84
501900374,1/24/2016,2329,651.21,1222631.84
237288224,9/9/2013,7713,668.27,3876091.02
403298938,10/17/2015,3973,437.2,1046210.09
898418843,4/14/2011,955,152.58,93055.2
791446769,11/13/2016,5541,152.58,539915.04
571494042,12/16/2011,6642,47.45,211149.18
797984492,8/13/2011,199,437.2,52402.67
750654447,4/19/2016,4187,437.2,1102562.71
679552733,11/8/2016,3610,109.28,129382.4
455040681,2/2/2012,5504,154.06,500478.72
917792117,10/7/2013,3938,109.28,141137.92
728793370,8/12/2011,5009,437.2,1319019.97
419343268,6/19/2015,1847,9.33,12781.24
141053140,7/13/2013,9613,205.7,1125778.43
115846812,2/18/2014,501,205.7,58672.11
185960614,5/28/2011,8733,9.33,60432.36
263943374,9/25/2011,5565,668.27,2796635.1
782656419,4/26/2015,4282,651.21,2247878.72
