,Int'l Plan,VMail Plan,VMail Message,CustomerId,Eve Charge,Night Charge,Intl Calls,Intl Charge,CustServ Calls,Churn?
66,yes,no,0,66,18.09,7.1,4,2.51,0,False.
67,yes,no,0,67,17.54,5.82,8,2.24,0,False.
68,no,no,0,68,18.44,6.91,1,2.11,1,False.
69,no,no,0,69,14.37,6.69,3,3.73,4,True.
70,no,no,0,70,14.49,13.29,7,3.19,3,False.
71,no,yes,46,71,16.0,11.46,2,3.27,0,False.
72,no,no,0,72,12.66,7.76,4,2.16,3,False.
73,no,no,0,73,19.27,6.86,4,1.97,1,False.
74,no,no,0,74,13.36,8.47,3,3.24,0,False.
75,no,no,0,75,18.98,8.16,2,1.65,1,False.
76,no,no,0,76,15.39,12.15,4,3.16,0,True.
77,no,no,0,77,6.55,7.79,7,2.21,4,True.
78,no,no,0,78,13.97,7.99,3,2.21,2,False.
79,no,no,0,79,13.19,10.29,2,4.05,1,False.
80,no,no,0,80,25.8,10.08,2,3.56,1,False.
81,yes,no,0,81,17.41,12.53,5,3.4,3,False.
82,no,yes,25,82,11.57,7.91,2,2.97,3,False.
83,no,yes,24,83,22.07,10.02,4,2.65,1,False.
84,no,no,0,84,21.18,8.61,1,3.35,2,True.
85,no,yes,29,85,19.2,14.54,7,2.32,0,False.
86,no,no,0,86,13.18,8.53,5,2.16,4,True.
87,no,no,0,87,17.72,8.21,2,3.24,1,False.
88,no,yes,35,88,10.49,9.09,9,2.94,2,False.
89,no,no,0,89,21.05,9.4,4,3.75,1,True.
90,no,no,0,90,16.57,4.93,2,3.0,1,False.
91,no,no,0,91,16.23,8.82,4,2.4,0,True.
92,no,no,0,92,14.71,11.39,9,2.13,1,False.
93,no,no,0,93,15.16,11.88,7,2.57,3,False.
94,no,no,0,94,16.2,5.75,7,2.86,3,False.
95,no,no,0,95,6.89,7.34,5,2.65,1,False.
96,no,no,0,96,18.13,7.83,4,3.51,0,False.
97,no,no,0,97,17.62,8.59,3,2.35,4,False.
98,no,no,0,98,17.8,7.52,5,1.43,1,True.
99,no,no,0,99,17.48,12.38,7,2.65,2,True.
100,no,yes,21,100,21.44,7.21,8,1.19,4,False.
101,no,no,0,101,16.07,5.81,5,3.94,0,False.
102,no,no,0,102,10.12,8.1,6,2.84,0,False.
103,no,no,0,103,15.61,11.04,9,3.38,1,False.
104,no,no,0,104,14.76,11.19,2,3.05,1,False.
105,no,no,0,105,15.91,8.55,4,3.19,4,False.
106,no,yes,29,106,17.19,8.42,6,2.43,2,False.
107,no,yes,21,107,13.98,9.76,3,2.65,1,False.
108,no,yes,32,108,11.14,9.87,1,2.73,1,False.
109,no,no,0,109,12.57,10.86,7,2.59,3,False.
110,no,no,0,110,26.96,5.36,8,2.24,1,False.
111,no,no,0,111,18.98,10.03,2,3.4,2,False.
112,no,no,0,112,16.23,10.25,4,3.27,4,False.
113,no,no,0,113,17.51,11.15,7,3.59,1,False.
114,no,no,0,114,14.42,9.51,3,2.54,1,False.
115,yes,yes,42,115,21.67,6.22,6,5.4,0,True.
116,no,no,0,116,12.95,2.59,3,3.83,1,False.
117,no,no,0,117,18.69,7.65,4,2.54,1,True.
118,no,yes,36,118,13.39,7.99,3,2.7,2,False.
119,no,no,0,119,18.26,6.45,5,2.35,2,False.
120,no,no,0,120,19.32,9.0,7,3.54,1,False.
121,no,yes,22,121,12.05,6.4,3,1.94,0,False.
122,no,no,0,122,15.6,9.94,4,2.65,3,False.
123,no,no,0,123,11.25,5.08,3,3.13,1,False.
124,no,no,0,124,9.37,10.23,5,2.48,2,False.
125,no,no,0,125,19.5,11.36,3,3.24,1,False.
126,no,no,0,126,13.39,6.97,3,2.46,4,True.
127,no,yes,27,127,12.46,10.16,6,1.73,4,True.
128,no,no,0,128,16.46,7.88,4,2.48,2,False.
129,no,yes,36,129,13.74,11.91,4,2.57,3,False.
130,no,no,0,130,18.5,6.61,2,2.94,3,False.
131,no,no,0,131,13.45,11.55,5,1.65,1,False.
132,no,no,0,132,19.58,11.76,3,2.57,1,False.
133,no,no,0,133,17.1,9.27,1,1.92,4,False.
134,no,no,0,134,17.22,9.29,10,2.46,1,False.
135,yes,no,0,135,14.73,11.12,3,3.02,3,False.
136,no,yes,21,136,18.49,10.69,4,1.43,5,False.
137,no,no,0,137,17.86,8.8,3,3.24,3,False.
138,no,yes,36,138,10.78,11.85,8,3.02,1,False.
139,no,yes,23,139,12.92,7.14,5,2.75,2,False.
140,no,no,0,140,23.49,8.71,3,3.35,1,False.
141,no,yes,39,141,18.73,11.42,4,2.84,0,False.
142,no,yes,28,142,16.62,4.94,5,1.84,3,False.
143,no,no,0,143,16.62,9.02,4,3.16,1,False.
144,yes,no,0,144,15.09,11.22,7,3.81,2,True.
145,no,no,0,145,13.61,4.97,6,3.86,3,False.
146,no,no,0,146,17.3,9.15,3,3.7,1,False.
147,yes,no,0,147,18.39,5.45,4,3.16,1,False.
148,no,no,0,148,18.56,7.27,5,2.3,1,False.
149,no,yes,43,149,13.78,12.91,4,3.0,2,False.
150,no,no,0,150,18.82,7.75,6,2.86,1,False.
151,no,no,0,151,17.57,13.46,7,2.73,1,False.
152,no,no,0,152,13.4,10.23,6,2.03,1,False.
153,no,no,0,153,21.12,6.32,11,1.86,1,False.
154,no,no,0,154,12.41,12.13,4,3.11,5,False.
155,no,no,0,155,24.83,11.97,4,2.65,0,False.
156,no,no,0,156,19.33,6.93,7,4.27,0,True.
157,no,yes,23,157,21.0,11.66,2,3.7,0,False.
158,no,no,0,158,21.82,8.04,2,2.75,1,False.
159,no,yes,24,159,15.59,7.42,4,2.59,1,False.
160,no,no,0,160,14.64,6.19,5,1.92,0,False.
161,no,no,0,161,20.53,11.41,6,3.24,0,False.
162,no,yes,36,162,20.52,10.33,5,2.84,3,False.
163,no,no,0,163,11.51,10.65,1,3.29,1,False.
164,no,no,0,164,12.63,7.52,3,1.65,1,False.
165,no,yes,33,165,18.17,10.29,2,3.27,2,False.
166,no,yes,31,166,13.88,11.92,3,2.03,1,False.
167,no,no,0,167,20.67,11.76,3,2.94,1,False.
168,no,yes,38,168,16.43,4.77,4,3.46,1,False.
169,no,no,0,169,15.93,6.93,2,1.7,0,False.
170,no,no,0,170,19.0,4.38,2,3.56,1,False.
171,no,yes,27,171,14.42,7.41,5,2.86,2,False.
172,no,no,0,172,17.98,12.1,4,2.84,3,False.
173,no,no,0,173,15.21,8.21,2,3.81,1,False.
174,no,no,0,174,12.7,11.01,5,1.65,0,False.
175,no,no,0,175,14.37,7.69,7,3.0,2,False.
176,no,no,0,176,16.18,8.78,3,3.29,0,False.
177,no,no,0,177,19.5,8.78,3,3.11,2,False.
178,no,no,0,178,16.5,9.36,10,4.37,3,False.
179,no,no,0,179,24.85,9.05,0,0.0,3,False.
180,yes,yes,23,180,18.23,12.7,5,2.57,4,False.
181,no,no,0,181,11.79,6.16,1,3.21,5,True.
182,no,yes,36,182,20.2,7.65,12,2.67,2,False.
183,no,no,0,183,21.62,9.63,7,3.94,2,False.
184,yes,no,0,184,20.83,6.05,3,2.27,3,False.
185,no,no,0,185,22.82,10.85,13,2.92,1,False.
186,no,no,0,186,5.47,8.93,4,2.75,1,False.
187,no,no,0,187,19.5,3.48,3,2.94,2,False.
188,no,no,0,188,13.87,8.42,3,2.43,1,False.
189,no,no,0,189,15.93,10.4,3,2.46,1,False.
190,no,no,0,190,15.34,5.05,4,2.4,0,False.
191,no,no,0,191,7.71,10.71,2,2.57,1,False.
192,no,no,0,192,16.58,9.37,4,2.38,2,False.
193,no,no,0,193,17.27,6.75,2,3.62,0,False.
194,no,yes,23,194,14.16,5.36,4,2.57,1,False.
195,no,yes,23,195,15.05,8.12,6,1.84,1,False.
196,no,no,0,196,15.49,11.77,8,2.62,0,False.
197,no,no,0,197,14.99,8.18,6,2.89,2,True.
198,yes,yes,26,198,16.97,11.49,7,3.73,4,True.
199,no,no,0,199,15.05,11.06,3,3.51,0,False.
200,no,yes,24,200,18.74,11.25,5,3.54,3,False.
201,no,no,0,201,27.9,11.03,1,3.02,2,False.
202,no,no,0,202,15.64,10.82,8,1.73,3,False.
203,no,no,0,203,15.18,9.76,3,1.84,2,False.
204,no,no,0,204,21.89,8.91,4,2.54,1,False.
205,no,yes,36,205,17.83,8.57,2,3.27,1,False.
206,no,no,0,206,7.13,8.09,8,3.7,2,False.
207,no,no,0,207,15.87,10.05,5,2.92,3,False.
208,no,no,0,208,12.91,11.7,5,3.29,3,False.
209,no,no,0,209,20.97,10.17,7,4.27,3,False.
210,no,no,0,210,13.23,8.47,10,3.13,1,False.
211,yes,no,0,211,21.05,8.74,11,3.21,0,False.
212,no,yes,24,212,20.78,5.51,3,2.89,1,False.
213,no,yes,31,213,9.61,11.11,6,3.29,1,False.
214,yes,no,0,214,19.39,3.29,4,4.75,2,True.
215,no,no,0,215,15.18,10.13,6,3.11,3,False.
216,no,no,0,216,15.84,7.76,3,2.94,0,False.
217,no,no,0,217,19.06,11.94,7,1.27,3,False.
218,no,no,0,218,22.7,6.8,2,3.51,1,True.
219,no,no,0,219,9.36,8.49,12,1.92,0,False.
220,no,no,0,220,12.97,9.55,6,3.29,3,False.
221,no,yes,22,221,14.83,11.02,6,2.75,1,False.
222,no,no,0,222,23.2,9.91,2,1.19,1,False.
223,no,no,0,223,20.59,7.84,6,2.4,2,False.
224,no,no,0,224,14.3,10.62,1,3.73,2,False.
225,no,no,0,225,19.93,11.25,4,0.73,1,False.
226,no,no,0,226,20.8,9.97,2,2.08,3,False.
227,no,yes,27,227,16.12,3.44,3,2.59,2,False.
228,no,yes,23,228,18.74,6.16,3,3.59,4,False.
229,no,yes,22,229,26.62,7.35,3,3.21,0,False.
230,yes,no,0,230,11.0,9.79,2,2.84,0,True.
231,yes,yes,36,231,24.76,8.89,6,2.97,1,False.
232,no,no,0,232,18.45,8.14,2,3.65,3,False.
233,no,no,0,233,18.73,6.94,2,2.94,0,False.
234,yes,no,0,234,20.43,10.49,5,2.43,1,False.
235,no,no,0,235,17.96,8.71,2,2.75,5,True.
236,no,yes,40,236,10.1,10.57,9,2.43,2,False.
237,no,no,0,237,17.07,8.65,7,2.65,3,False.
238,no,no,0,238,10.28,10.2,9,2.89,0,False.
239,no,no,0,239,14.33,6.29,6,2.54,1,False.
240,no,no,0,240,7.51,8.79,5,3.48,0,False.
241,yes,no,0,241,11.4,10.04,2,3.32,2,True.
242,no,no,0,242,15.5,12.41,2,2.27,1,False.
243,no,no,0,243,15.04,8.74,2,1.92,3,False.
244,no,no,0,244,22.76,15.97,3,2.54,0,True.
245,no,no,0,245,14.15,9.1,5,2.57,0,False.
246,no,yes,37,246,8.69,11.78,3,3.0,0,False.
247,no,no,0,247,12.72,12.75,5,2.75,0,False.
248,no,no,0,248,17.2,11.07,2,2.48,4,False.
249,no,yes,23,249,23.63,10.28,4,3.19,2,False.
250,no,yes,29,250,10.02,12.56,11,3.75,4,True.
251,no,no,0,251,14.62,8.63,7,3.89,4,False.
252,no,no,0,252,19.8,7.76,8,2.46,3,False.
253,no,yes,41,253,19.55,10.66,3,2.57,0,False.
254,yes,no,0,254,23.21,8.02,3,2.94,0,False.
255,no,yes,32,255,18.4,7.79,8,3.81,4,False.
256,no,no,0,256,14.65,10.42,3,2.65,1,False.
257,no,no,0,257,21.24,8.7,8,3.92,1,False.
258,yes,no,0,258,15.35,9.98,2,2.81,1,True.
259,no,no,0,259,20.0,7.62,4,2.35,1,False.
260,no,yes,25,260,17.79,10.4,9,1.81,1,False.
261,no,no,0,261,12.16,10.08,1,4.16,1,False.
262,no,no,0,262,17.96,8.33,3,3.11,1,False.
263,no,no,0,263,18.8,10.85,1,3.38,1,False.
264,no,no,0,264,16.54,6.59,6,2.24,2,False.
265,no,yes,30,265,22.1,13.12,6,3.08,1,False.
266,no,yes,28,266,16.41,10.46,9,2.27,4,False.
267,no,no,0,267,14.49,11.88,6,3.65,3,False.
268,no,yes,48,268,11.58,6.63,4,1.22,0,False.
269,yes,no,0,269,14.91,8.32,3,2.67,2,False.
270,no,no,0,270,19.12,11.25,3,3.94,0,False.
271,no,no,0,271,15.3,9.04,3,2.08,1,False.
272,no,yes,28,272,19.99,9.28,13,2.16,3,False.
273,no,no,0,273,19.92,9.14,3,3.51,3,False.
274,no,yes,28,274,16.56,10.76,3,2.7,1,False.
275,no,no,0,275,19.7,5.51,5,2.65,3,False.
276,yes,no,0,276,17.68,9.15,4,3.0,0,False.
277,no,yes,48,277,10.49,9.64,2,1.76,2,True.
278,no,yes,25,278,19.2,11.44,6,2.94,2,False.
279,yes,no,0,279,18.62,10.02,6,2.84,3,False.
280,no,no,0,280,14.79,8.47,4,3.51,2,False.
281,no,no,0,281,17.93,8.7,6,2.81,2,False.
282,no,yes,37,282,13.59,6.48,1,3.29,1,False.
283,no,yes,28,283,24.51,10.81,2,2.43,1,False.
284,no,no,0,284,15.43,12.66,5,1.81,3,False.
285,no,yes,24,285,14.93,11.34,3,4.21,2,False.
286,no,no,0,286,10.88,8.75,5,2.38,2,False.
287,no,no,0,287,17.79,13.05,4,3.92,2,False.
288,no,no,0,288,11.25,11.48,5,3.81,0,False.
289,no,no,0,289,22.18,14.04,3,1.43,1,True.
290,no,yes,34,290,18.65,13.47,2,2.16,0,False.
291,no,no,0,291,10.97,5.63,3,2.62,0,False.
292,no,no,0,292,16.49,6.6,4,1.59,1,False.
293,no,yes,37,293,10.21,9.72,5,2.78,5,True.
294,no,yes,18,294,11.34,11.68,3,2.65,1,False.
295,no,no,0,295,15.29,9.76,5,2.57,1,False.
296,no,no,0,296,21.05,6.41,5,2.73,2,False.
297,no,no,0,297,15.67,10.82,1,3.21,0,False.
298,no,no,0,298,18.59,9.32,9,1.78,4,False.
299,no,no,0,299,16.99,12.95,5,1.78,1,False.
300,no,no,0,300,9.38,8.79,4,3.21,2,False.
301,no,no,0,301,22.51,9.32,2,1.59,1,True.
302,no,no,0,302,29.79,13.37,3,3.02,0,True.
303,no,no,0,303,24.86,10.85,4,2.46,1,False.
304,no,no,0,304,21.56,9.63,10,2.78,1,False.
305,no,no,0,305,21.21,7.79,5,2.46,2,False.
306,no,no,0,306,22.82,9.62,10,2.3,1,True.
307,no,no,0,307,18.26,6.03,3,3.08,4,True.
308,no,no,0,308,16.18,8.25,2,3.08,0,False.
309,no,no,0,309,21.96,8.26,4,2.4,3,False.
310,no,no,0,310,18.7,11.96,2,3.56,1,True.
311,no,yes,38,311,16.65,8.26,6,2.62,1,False.
312,no,no,0,312,14.41,9.9,3,2.94,0,False.
313,no,no,0,313,23.83,9.23,4,2.65,0,False.
314,no,no,0,314,17.46,11.45,2,5.1,0,False.
315,no,no,0,315,26.03,5.58,3,3.35,1,False.
316,no,yes,28,316,22.98,7.22,4,2.08,2,False.
317,no,yes,29,317,21.83,6.64,3,2.05,3,False.
318,no,yes,21,318,18.01,12.29,5,1.35,3,False.
319,yes,yes,32,319,16.05,6.97,2,2.54,2,True.
320,no,no,0,320,22.03,12.93,3,1.67,0,False.
321,no,yes,32,321,15.11,10.46,3,3.48,1,False.
322,no,no,0,322,21.84,10.57,3,2.7,0,False.
323,no,no,0,323,20.96,11.32,4,3.05,1,False.
324,no,no,0,324,13.17,11.03,5,3.62,3,False.
325,no,yes,30,325,18.66,6.85,3,1.92,0,False.
326,no,yes,35,326,17.78,8.88,4,3.08,1,False.
327,no,yes,33,327,20.02,7.03,4,2.57,1,False.
328,no,no,0,328,18.45,8.48,3,3.38,0,False.
329,no,no,0,329,20.45,3.59,12,3.89,0,False.
330,no,no,0,330,26.6,5.86,2,2.13,3,False.
331,no,no,0,331,21.14,8.88,2,2.57,1,True.
332,no,no,0,332,16.75,6.23,5,3.29,7,True.
333,no,no,0,333,22.45,9.28,4,2.51,0,False.
334,no,no,0,334,12.99,10.49,4,2.03,1,False.
335,no,yes,17,335,11.77,7.61,4,2.32,1,False.
336,no,no,0,336,23.08,7.66,2,2.86,0,False.
337,no,no,0,337,15.01,13.63,7,1.89,2,False.
338,no,no,0,338,22.65,9.57,3,2.05,2,False.
339,no,no,0,339,16.93,7.9,2,3.94,0,False.
340,no,no,0,340,15.01,11.82,1,2.46,1,True.
341,no,no,0,341,21.75,12.38,11,2.92,1,False.
342,no,yes,34,342,13.74,10.25,7,3.78,0,False.
343,no,yes,21,343,14.97,11.02,0,0.0,2,False.
344,no,yes,37,344,7.09,7.47,3,3.59,1,False.
345,no,no,0,345,15.23,6.08,8,1.94,3,False.
346,no,yes,33,346,10.46,11.76,5,3.29,1,False.
347,no,no,0,347,13.19,8.4,11,2.84,1,False.
348,no,yes,41,348,13.8,5.74,5,3.54,3,False.
349,no,no,0,349,8.98,10.94,3,3.46,4,True.
350,no,no,0,350,17.4,10.35,8,3.05,4,False.
351,yes,yes,38,351,19.92,10.68,4,2.73,4,False.
352,no,no,0,352,15.06,4.34,3,1.43,1,False.
353,no,no,0,353,17.43,9.18,9,3.97,2,False.
354,yes,no,0,354,18.58,8.73,2,3.56,2,True.
355,no,no,0,355,6.74,9.62,2,3.43,1,False.
356,yes,no,0,356,16.05,9.27,4,3.05,1,False.
357,no,yes,23,357,19.32,5.51,2,2.3,2,False.
358,yes,yes,39,358,17.94,5.14,4,2.48,1,False.
359,no,yes,29,359,22.5,8.03,4,1.57,1,False.
360,yes,no,0,360,26.54,8.24,6,2.38,1,True.
361,no,no,0,361,15.27,11.39,6,3.05,0,False.
362,no,yes,36,362,19.75,9.99,5,3.24,1,False.
363,no,no,0,363,8.77,13.93,3,3.05,2,False.
364,no,no,0,364,18.16,8.64,2,2.94,0,False.
365,no,no,0,365,18.4,11.43,9,2.73,1,True.
366,no,no,0,366,22.45,5.79,3,2.46,4,False.
367,no,no,0,367,21.54,11.48,3,4.86,1,False.
368,no,no,0,368,19.74,6.6,5,2.05,1,False.
369,no,no,0,369,22.76,7.42,2,4.32,0,False.
370,no,no,0,370,19.13,9.2,6,2.78,1,False.
371,no,no,0,371,18.94,10.14,6,2.86,2,False.
372,yes,no,0,372,9.72,12.11,1,3.35,0,True.
373,no,no,0,373,19.54,7.53,2,4.0,2,False.
374,no,no,0,374,17.91,12.46,6,2.48,2,False.
375,no,yes,21,375,15.3,6.05,5,2.86,0,False.
376,no,no,0,376,10.05,8.46,7,3.02,2,False.
377,no,no,0,377,18.23,10.17,18,1.81,1,False.
378,yes,no,0,378,24.33,8.95,2,3.11,1,True.
379,no,no,0,379,13.66,10.49,4,1.84,2,False.
380,no,no,0,380,16.24,9.84,2,3.97,3,False.
381,no,no,0,381,13.21,10.8,4,3.97,1,False.
382,yes,no,0,382,12.33,11.23,4,1.54,0,False.
383,yes,yes,22,383,27.43,10.15,5,1.0,1,False.
384,no,no,0,384,21.0,8.46,4,1.94,2,False.
385,no,no,0,385,18.73,9.21,7,2.89,4,False.
386,no,no,0,386,23.29,14.46,1,2.4,3,False.
387,no,no,0,387,17.38,5.75,5,2.3,1,False.
388,no,no,0,388,22.97,6.67,3,2.89,1,False.
389,no,no,0,389,20.27,12.83,6,2.75,3,False.
390,no,no,0,390,20.72,9.66,2,3.0,1,False.
391,no,no,0,391,21.95,9.59,3,2.35,0,False.
392,no,no,0,392,14.98,10.48,5,3.35,5,False.
393,no,no,0,393,17.44,8.36,3,2.54,2,False.
394,no,no,0,394,17.48,7.48,2,2.92,0,True.
395,no,yes,22,395,7.94,4.84,5,2.62,0,False.
396,no,no,0,396,16.92,9.18,4,2.11,0,False.
397,no,no,0,397,23.74,10.54,2,0.54,1,True.
398,no,no,0,398,11.11,8.39,4,2.3,1,False.
399,no,no,0,399,19.55,8.63,5,2.86,1,True.
400,no,yes,31,400,18.61,10.2,1,3.24,1,False.
401,no,no,0,401,9.42,10.8,3,2.86,0,False.
402,no,yes,26,402,16.34,7.43,2,2.67,1,False.
403,no,no,0,403,13.87,7.23,6,3.02,1,False.
404,no,no,0,404,20.57,9.06,3,2.03,4,False.
405,yes,no,0,405,13.68,8.94,5,2.51,0,False.
406,no,no,0,406,9.32,11.13,7,1.84,0,False.
407,no,no,0,407,15.72,8.87,5,2.3,4,True.
408,yes,no,0,408,21.36,6.08,3,2.78,1,False.
409,no,no,0,409,16.75,7.52,4,1.3,2,False.
410,no,no,0,410,12.0,9.14,5,2.27,2,False.
411,no,no,0,411,15.83,8.5,6,2.81,2,False.
412,no,no,0,412,20.6,7.6,1,1.46,0,False.
413,no,no,0,413,16.96,8.47,5,1.89,3,False.
414,no,no,0,414,10.54,9.87,3,2.7,0,False.
415,no,no,0,415,24.05,10.73,3,2.35,2,True.
416,yes,no,0,416,13.6,9.56,2,1.35,1,True.
417,no,no,0,417,14.86,9.43,2,2.65,0,False.
418,no,yes,34,418,16.56,10.77,6,4.32,1,False.
419,no,no,0,419,27.8,9.56,6,2.03,2,False.
420,no,yes,28,420,22.47,7.73,11,2.51,2,False.
421,no,no,0,421,14.98,3.47,1,4.13,1,False.
422,no,no,0,422,24.06,8.88,3,3.38,0,False.
423,no,yes,45,423,11.93,11.86,2,2.78,3,False.
424,no,yes,16,424,11.07,9.0,3,3.05,1,False.
425,yes,no,0,425,15.77,9.23,4,2.94,1,False.
426,no,no,0,426,9.64,8.11,7,3.38,1,False.
427,no,yes,40,427,18.39,9.78,9,2.59,1,False.
428,no,no,0,428,16.73,9.42,5,3.02,3,False.
429,no,no,0,429,23.23,9.65,7,3.35,2,False.
430,no,no,0,430,22.15,8.78,2,3.59,2,True.
431,no,no,0,431,24.02,8.15,4,3.08,1,False.
432,no,no,0,432,15.48,11.66,2,3.46,1,False.
433,no,no,0,433,14.9,7.0,5,3.19,2,False.
434,no,yes,31,434,17.32,9.14,3,2.32,0,False.
435,no,yes,29,435,10.11,7.39,3,3.02,1,False.
436,no,no,0,436,25.61,9.66,3,2.16,1,False.
437,no,no,0,437,15.02,9.88,4,2.24,0,True.
438,no,no,0,438,28.1,8.52,3,3.65,1,False.
439,no,no,0,439,16.8,8.93,2,1.7,2,False.
440,no,yes,27,440,13.09,11.06,6,3.32,1,False.
441,no,no,0,441,22.58,6.56,4,3.35,0,False.
442,no,yes,29,442,18.8,5.92,3,1.84,1,False.
443,no,no,0,443,15.96,6.95,5,3.4,1,False.
444,yes,no,0,444,16.66,15.71,7,2.59,2,False.
445,no,no,0,445,21.86,9.37,6,3.0,0,False.
446,no,no,0,446,20.06,8.06,4,2.59,3,False.
447,no,no,0,447,11.42,8.68,5,1.86,2,False.
448,no,no,0,448,17.09,4.86,3,3.29,1,False.
449,no,yes,21,449,17.24,7.8,3,1.7,4,False.
450,no,no,0,450,23.05,9.1,5,3.38,0,False.
451,no,yes,23,451,20.94,11.06,2,2.65,0,False.
452,no,no,0,452,20.85,11.7,3,2.24,0,False.
453,no,yes,20,453,23.29,8.58,9,3.86,1,False.
454,no,no,0,454,23.28,10.02,1,3.0,1,True.
455,no,no,0,455,20.86,7.22,2,4.0,1,True.
456,no,no,0,456,15.34,10.06,2,2.51,2,False.
457,no,no,0,457,22.44,5.21,7,2.62,2,False.
458,no,yes,28,458,18.71,8.11,3,1.62,3,False.
459,no,no,0,459,10.23,6.92,3,2.97,0,False.
460,no,no,0,460,18.75,6.15,5,2.59,1,False.
461,no,no,0,461,19.41,13.49,9,2.59,3,False.
462,no,yes,18,462,9.19,9.38,5,2.73,1,False.
463,no,no,0,463,16.6,12.62,2,1.59,0,False.
464,no,yes,23,464,18.72,12.26,5,2.3,0,False.
465,yes,no,0,465,14.26,8.19,3,3.67,3,True.
466,no,yes,36,466,15.44,11.65,5,2.84,3,True.
467,no,no,0,467,17.02,11.62,4,3.13,1,False.
468,no,yes,32,468,14.17,11.02,5,3.0,3,False.
469,no,yes,34,469,21.67,7.21,9,4.64,2,False.
470,no,no,0,470,13.99,10.83,2,2.86,1,False.
471,no,no,0,471,21.14,7.92,6,2.57,3,False.
